2023-05-02 15:12:51,197 | WARN  | Transport Connection to: tcp://18.192.220.39:34566 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34566 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:12:28,499 | WARN  | Transport Connection to: tcp://18.192.220.39:33450 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33450 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:11:37,966 | WARN  | Transport Connection to: tcp://18.192.220.39:34562 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34562 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:11:37,966 | WARN  | Transport Connection to: tcp://18.192.220.39:34998 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34998 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:11:37,966 | WARN  | Transport Connection to: tcp://18.192.220.39:33544 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33544 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:11:37,966 | WARN  | Transport Connection to: tcp://18.192.220.39:34994 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34994 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:11:37,966 | WARN  | Transport Connection to: tcp://18.192.220.39:34374 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34374 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:11:37,966 | WARN  | Transport Connection to: tcp://18.192.220.39:34904 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34904 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:11:37,966 | WARN  | Transport Connection to: tcp://18.192.220.39:34632 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34632 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:11:37,089 | WARN  | Transport Connection to: tcp://18.192.220.39:33742 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33742 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:11:37,089 | WARN  | Transport Connection to: tcp://18.192.220.39:35078 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:35078 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:11:37,089 | WARN  | Transport Connection to: tcp://18.192.220.39:33650 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33650 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:11:36,020 | WARN  | Transport Connection to: tcp://18.192.220.39:33604 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33604 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:11:36,021 | WARN  | Transport Connection to: tcp://18.192.220.39:34462 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34462 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:11:36,021 | WARN  | Transport Connection to: tcp://18.192.220.39:34298 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34298 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,365 | WARN  | Transport Connection to: tcp://18.192.220.39:34514 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34514 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,348 | WARN  | Transport Connection to: tcp://18.192.220.39:33600 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33600 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
